sigla_pais,nome_pais,felicidade,pib_per_capita
AUS,Australia,7.1,72952.4961989019
AUT,Austria,7.2,73743.9712638336
BEL,Belgium,6.8,70830.9071428571
CAN,Canada,7.0,61650.9814849762
CHL,Chile,6.2,32730.2366997295
COL,Colombia,5.7,21994.4866286351
CRI,Costa Rica,6.3,27719.395738204
CZE,Czechia,6.9,55803.2170679245
DNK,Denmark,7.5,77223.3762447699
EST,Estonia,6.5,49003.0478430086
FIN,Finland,7.9,64496.6403700649
FRA,France,6.7,61472.8672680412
DEU,Germany,7.3,69329.0487960717
GRC,Greece,5.8,40521.0584412039
HUN,Hungary,6.0,45941.0534086957
ISL,Iceland,7.6,80449.1357048748
IRL,Ireland,7.0,128156.550222381
ISR,Israel,7.2,53435.0989596679
ITA,Italy,6.5,58523.4991312602
JPN,Japan,6.1,50273.0860299794
KOR,Korea,5.8,54057.8525798526
LVA,Latvia,6.2,42505.7973849053
LTU,Lithuania,6.4,51877.0457297041
LUX,Luxembourg,7.4,143526.892123006
MEX,Mexico,6.0,25430.8874325307
NLD,Netherlands,7.5,78217.1996755971
NZL,New Zealand,7.3,53801.7991623834
NOR,Norway,7.3,103994.094009383
POL,Poland,6.1,48135.9258846623
PRT,Portugal,5.8,49744.9913012295
SVK,Slovak Republic,6.5,43818.802227877
SVN,Slovenia,6.5,54960.4110094235
ESP,Spain,6.5,52944.5578393593
SWE,Sweden,7.3,68802.1100846549
CHE,Switzerland,7.5,92580.2281049686
TUR,Türkiye,4.9,44151.0223144176
GBR,United Kingdom,6.8,58906.1979078274
USA,United States,7.0,81585.1650318608
